time,action,category,source,target
2026-07-22 10:39:18,dry-run,过程材料-主题教育和学习教育,D:\DingTalkDownload\学习教育查摆问题整改整治情况征询意见表.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\主题教育和学习教育\2026-07\学习教育查摆问题整改整治情况征询意见表.xlsx
2026-07-22 10:39:18,dry-run,过程材料-党员发展,D:\DingTalkDownload\关于丁恩宏同志党员发展手续有关情况的证明(1).docx,E:\sl_obsidian\200督导考核岗\240过程材料归档\党员发展工作\2026-07\关于丁恩宏同志党员发展手续有关情况的证明(1).docx
2026-07-22 10:39:18,dry-run,过程材料-立足岗位做贡献,D:\DingTalkDownload\2026年二季度党员先锋岗打分表(博爱).xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\2026年二季度党员先锋岗打分表(博爱).xlsx
2026-07-22 10:39:18,dry-run,领域知识-国企党建会回头看,D:\DingTalkDownload\红头_关于开展全国国有企业党的建设工作会议精神贯彻落实情况“回头看”工作的通知(1).docx,E:\sl_obsidian\200督导考核岗\230领域知识\232党建业务知识\11.国企党建会回头看与国企党建会议精神\红头_关于开展全国国有企业党的建设工作会议精神贯彻落实情况“回头看”工作的通知(1).docx
2026-07-22 10:39:18,dry-run,待归档,D:\DingTalkDownload\合同制员工个人信息填报操作步骤_20260720.docx,E:\sl_obsidian\200督导考核岗\999待归档\2026-07\合同制员工个人信息填报操作步骤_20260720.docx
2026-07-22 10:39:18,dry-run,过程材料-党员发展,D:\DingTalkDownload\2023年8月7日党员入党材料手续交接清单_党群李竞.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\党员发展工作\2026-07\2023年8月7日党员入党材料手续交接清单_党群李竞.xlsx
2026-07-22 10:39:18,dry-run,过程材料-立足岗位做贡献,D:\DingTalkDownload\解放二季度党员先锋岗\范川先锋岗.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\范川先锋岗.xlsx
2026-07-22 10:39:18,dry-run,过程材料-立足岗位做贡献,D:\DingTalkDownload\解放二季度党员先锋岗(1)\范川先锋岗.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\范川先锋岗.xlsx
2026-07-22 10:39:18,dry-run,待归档,D:\DingTalkDownload\解放二季度党员先锋岗\范川.jpg,E:\sl_obsidian\200督导考核岗\999待归档\2026-07\范川.jpg
2026-07-22 10:39:18,dry-run,待归档,D:\DingTalkDownload\解放二季度党员先锋岗(1)\范川.jpg,E:\sl_obsidian\200督导考核岗\999待归档\2026-07\范川.jpg
2026-07-22 10:39:18,dry-run,过程材料-立足岗位做贡献,D:\DingTalkDownload\解放二季度党员先锋岗\李秀丽先锋岗.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\李秀丽先锋岗.xlsx
2026-07-22 10:39:18,dry-run,过程材料-立足岗位做贡献,D:\DingTalkDownload\解放二季度党员先锋岗(1)\李秀丽先锋岗.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\李秀丽先锋岗.xlsx
2026-07-22 10:39:18,dry-run,待归档,D:\DingTalkDownload\解放二季度党员先锋岗(1)\李秀丽.jpg,E:\sl_obsidian\200督导考核岗\999待归档\2026-07\李秀丽.jpg
2026-07-22 10:39:18,dry-run,待归档,D:\DingTalkDownload\解放二季度党员先锋岗\李秀丽.jpg,E:\sl_obsidian\200督导考核岗\999待归档\2026-07\李秀丽.jpg
2026-07-22 10:39:18,dry-run,待归档,D:\DingTalkDownload\解放二季度党员先锋岗\打分表.jpg,E:\sl_obsidian\200督导考核岗\999待归档\2026-07\打分表.jpg
2026-07-22 10:39:18,dry-run,待归档,D:\DingTalkDownload\解放二季度党员先锋岗(1)\打分表.jpg,E:\sl_obsidian\200督导考核岗\999待归档\2026-07\打分表.jpg
2026-07-22 10:39:18,dry-run,过程材料-立足岗位做贡献,D:\DingTalkDownload\解放二季度党员先锋岗(1)\张静静先锋岗.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\张静静先锋岗.xlsx
2026-07-22 10:39:18,dry-run,过程材料-立足岗位做贡献,D:\DingTalkDownload\解放二季度党员先锋岗\张静静先锋岗.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\张静静先锋岗.xlsx
2026-07-22 10:39:18,dry-run,待归档,D:\DingTalkDownload\解放二季度党员先锋岗\张静静.jpg,E:\sl_obsidian\200督导考核岗\999待归档\2026-07\张静静.jpg
2026-07-22 10:39:18,dry-run,待归档,D:\DingTalkDownload\解放二季度党员先锋岗(1)\张静静.jpg,E:\sl_obsidian\200督导考核岗\999待归档\2026-07\张静静.jpg
2026-07-22 10:39:18,dry-run,过程材料-立足岗位做贡献,D:\DingTalkDownload\解放二季度党员先锋岗\党员先锋岗打分表.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\党员先锋岗打分表_4.xlsx
2026-07-22 10:39:18,dry-run,过程材料-立足岗位做贡献,D:\DingTalkDownload\解放二季度党员先锋岗(1)\党员先锋岗打分表.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\党员先锋岗打分表_4.xlsx
2026-07-22 10:39:18,dry-run,过程材料-立足岗位做贡献,D:\DingTalkDownload\党员先锋岗打分表 - 二季度.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\党员先锋岗打分表 - 二季度.xlsx
2026-07-22 10:39:18,dry-run,过程材料-立足岗位做贡献,D:\DingTalkDownload\2026年二季度党员先锋岗打分表人力资源部20260720.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\2026年二季度党员先锋岗打分表人力资源部20260720.xlsx
2026-07-22 10:39:18,dry-run,过程材料-综合协调,D:\DingTalkDownload\附件4：合规风险识别清单（焦作）.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\综合协调与日常管理\2026-07\附件4：合规风险识别清单（焦作）.xlsx
2026-07-22 10:39:18,dry-run,待归档,D:\DingTalkDownload\签字盖章版\范东东.jpg,E:\sl_obsidian\200督导考核岗\999待归档\2026-07\范东东.jpg
2026-07-22 10:39:18,dry-run,待归档,D:\DingTalkDownload\签字盖章版\王小海.jpg,E:\sl_obsidian\200督导考核岗\999待归档\2026-07\王小海.jpg
2026-07-22 10:39:18,dry-run,待归档,D:\DingTalkDownload\签字盖章版\打分表.jpg,E:\sl_obsidian\200督导考核岗\999待归档\2026-07\打分表_3.jpg
2026-07-22 10:39:18,dry-run,待归档,D:\DingTalkDownload\签字盖章版\庞二军.jpg,E:\sl_obsidian\200督导考核岗\999待归档\2026-07\庞二军.jpg
2026-07-22 10:39:18,dry-run,过程材料-立足岗位做贡献,D:\DingTalkDownload\修武立足岗位做贡献电子版\附件2：党员先锋岗申报表（范东东）.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\附件2：党员先锋岗申报表（范东东）.xlsx
2026-07-22 10:39:18,dry-run,过程材料-立足岗位做贡献,D:\DingTalkDownload\修武立足岗位做贡献电子版\附件2：党员先锋岗申报表（王小海）.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\附件2：党员先锋岗申报表（王小海）.xlsx
2026-07-22 10:39:18,dry-run,过程材料-立足岗位做贡献,D:\DingTalkDownload\修武立足岗位做贡献电子版\附件2：党员先锋岗申报表（庞二军）.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\附件2：党员先锋岗申报表（庞二军）.xlsx
2026-07-22 10:39:18,dry-run,过程材料-立足岗位做贡献,D:\DingTalkDownload\修武立足岗位做贡献电子版\2026第二季度党员先锋岗打分表.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\2026第二季度党员先锋岗打分表.xlsx
2026-07-22 10:39:18,dry-run,领域知识-国企党建会回头看,D:\DingTalkDownload\全国国有企业党的建设工作会议精神.docx,E:\sl_obsidian\200督导考核岗\230领域知识\232党建业务知识\11.国企党建会回头看与国企党建会议精神\全国国有企业党的建设工作会议精神.docx
2026-07-22 10:39:18,dry-run,过程材料-党员发展,D:\DingTalkDownload\2026年市直机关党员发展对象培训班报名表(1)(1).xls,E:\sl_obsidian\200督导考核岗\240过程材料归档\党员发展工作\2026-07\2026年市直机关党员发展对象培训班报名表(1)(1).xls
2026-07-22 10:39:18,dry-run,过程材料-国企党建会回头看,D:\DingTalkDownload\国有企业党的建设工作会议精神贯彻落实情况“回头看”(1)\贯彻落实全国国有企业党的建设工作会精神五周年“回头看”情况报告参考模板.docx,E:\sl_obsidian\200督导考核岗\240过程材料归档\国企党建会回头看\2026-07\贯彻落实全国国有企业党的建设工作会精神五周年“回头看”情况报告参考模板.docx
2026-07-22 10:39:18,dry-run,过程材料-国企党建会回头看,D:\DingTalkDownload\国有企业党的建设工作会议精神贯彻落实情况“回头看”(1)\焦作市分公司党支部贯彻落实全国国有企业党的建设工作会精神“回头看”工作（落实台账）.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\国企党建会回头看\2026-07\焦作市分公司党支部贯彻落实全国国有企业党的建设工作会精神“回头看”工作（落实台账）.xlsx
2026-07-22 10:39:18,dry-run,过程材料-国企党建会回头看,D:\DingTalkDownload\国有企业党的建设工作会议精神贯彻落实情况“回头看”(1)\焦作市分公司党委贯彻落实全国国有企业党的建设工作会精神“回头看”工作（落实台账）.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\国企党建会回头看\2026-07\焦作市分公司党委贯彻落实全国国有企业党的建设工作会精神“回头看”工作（落实台账）.xlsx
2026-07-22 10:39:18,dry-run,领域知识-国企党建会回头看,D:\DingTalkDownload\国有企业党的建设工作会议精神贯彻落实情况“回头看”(1)\关于开展全国国有企业党的建设工作会议精神贯彻落实情况“回头看”工作的通知.docx,E:\sl_obsidian\200督导考核岗\230领域知识\232党建业务知识\11.国企党建会回头看与国企党建会议精神\关于开展全国国有企业党的建设工作会议精神贯彻落实情况“回头看”工作的通知.docx
2026-07-22 10:39:18,dry-run,过程材料-国企党建会回头看,D:\DingTalkDownload\国有企业党的建设工作会议精神贯彻落实情况“回头看”(1)\关于开展全国国有企业党的建设工作会议精神贯彻落实情况“回头看”工作的汇报.pptx,E:\sl_obsidian\200督导考核岗\240过程材料归档\国企党建会回头看\2026-07\关于开展全国国有企业党的建设工作会议精神贯彻落实情况“回头看”工作的汇报.pptx
2026-07-22 10:39:18,dry-run,过程材料-立足岗位做贡献,D:\DingTalkDownload\网运中心党支部二季度党员先锋岗报送\附件2：党员先锋岗申报表-邱莹莹二季度.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\附件2：党员先锋岗申报表-邱莹莹二季度.xlsx
2026-07-22 10:39:18,dry-run,过程材料-立足岗位做贡献,D:\DingTalkDownload\网运中心党支部二季度党员先锋岗报送\附件2：党员先锋岗申报表-明伟二季度.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\附件2：党员先锋岗申报表-明伟二季度.xlsx
2026-07-22 10:39:18,dry-run,待归档,D:\DingTalkDownload\网运中心党支部二季度党员先锋岗报送\邱莹莹申报表.png,E:\sl_obsidian\200督导考核岗\999待归档\2026-07\邱莹莹申报表.png
2026-07-22 10:39:18,dry-run,待归档,D:\DingTalkDownload\网运中心党支部二季度党员先锋岗报送\明伟申报表.png,E:\sl_obsidian\200督导考核岗\999待归档\2026-07\明伟申报表.png
2026-07-22 10:39:18,dry-run,过程材料-立足岗位做贡献,D:\DingTalkDownload\网运中心党支部二季度党员先锋岗报送\党员先锋岗打分表-网运中心党支部二季度.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\党员先锋岗打分表-网运中心党支部二季度.xlsx
2026-07-22 10:39:18,dry-run,过程材料-立足岗位做贡献,D:\DingTalkDownload\网运中心党支部二季度党员先锋岗报送\二季度党员先锋岗打分表.png,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\二季度党员先锋岗打分表.png
2026-07-22 10:39:18,dry-run,过程材料-主题教育和学习教育,D:\DingTalkDownload\学习教育查摆问题整改整治台账（数字化与稽核中心) - 改.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\主题教育和学习教育\2026-07\学习教育查摆问题整改整治台账（数字化与稽核中心) - 改.xlsx
2026-07-22 10:39:18,dry-run,过程材料-主题教育和学习教育,D:\DingTalkDownload\学习教育查摆问题整改整治台账（数字化与稽核中心) - 改(1).xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\主题教育和学习教育\2026-07\学习教育查摆问题整改整治台账（数字化与稽核中心) - 改(1).xlsx
2026-07-22 10:39:18,dry-run,待归档,D:\DingTalkDownload\2026年-党委会”第一议题“贯彻落实台账（0629）.xlsx,E:\sl_obsidian\200督导考核岗\999待归档\2026-07\2026年-党委会”第一议题“贯彻落实台账（0629）.xlsx
2026-07-22 10:39:18,dry-run,待归档,D:\DingTalkDownload\2026年二季度党风廉政建设和反腐败工作协调小组会议汇报材料（党建工作部） .docx,E:\sl_obsidian\200督导考核岗\999待归档\2026-07\2026年二季度党风廉政建设和反腐败工作协调小组会议汇报材料（党建工作部） .docx
2026-07-22 10:39:18,dry-run,待归档,D:\DingTalkDownload\党建重点工作.docx,E:\sl_obsidian\200督导考核岗\999待归档\2026-07\党建重点工作.docx
2026-07-22 10:39:18,dry-run,待归档,D:\DingTalkDownload\七一活动工作提示.doc,E:\sl_obsidian\200督导考核岗\999待归档\2026-07\七一活动工作提示.doc
2026-07-22 10:39:18,dry-run,领域知识-其他制度红头,D:\DingTalkDownload\党员教育规划中期评估通知.doc,E:\sl_obsidian\200督导考核岗\230领域知识\232党建业务知识\99.其他制度红头文件\党员教育规划中期评估通知.doc
2026-07-22 10:39:18,dry-run,领域知识-其他制度红头,D:\DingTalkDownload\中国联通焦作市分公司二季度意识形态工作情况.docx,E:\sl_obsidian\200督导考核岗\230领域知识\232党建业务知识\99.其他制度红头文件\中国联通焦作市分公司二季度意识形态工作情况.docx
2026-07-22 10:39:18,dry-run,过程材料-书记述职评议,D:\DingTalkDownload\2025年度抓基层党建工作述职报告-焦作联通付刚20260116-定稿.docx,E:\sl_obsidian\200督导考核岗\240过程材料归档\书记述职评议\2026-07\2025年度抓基层党建工作述职报告-焦作联通付刚20260116-定稿.docx
