source,extension,status
D:\work\2026\4\5 组织生活会\3 温县\民主评议报告.jpg,.jpg,unsupported
D:\work\2026\4\5 组织生活会\4 马村\2025年组织生活会问题清单.xls,.xls,unsupported
D:\work\2026\4\5 组织生活会\4 马村\民主评议结果报告 (1).JPG,.jpg,unsupported
D:\work\2026\4\5 组织生活会\5 山阳\关于召开基层党组织2025年度组织生活会和民主评议党员的通知.doc,.doc,unsupported
D:\work\2026\4\5 组织生活会\5 山阳\附件4：党支部发言材料-山阳 (1).doc,.doc,unsupported
D:\work\2026\4\5 组织生活会\6 市场部\2025年度基层党组织组织生活会市场部支部委员会对照检查材料.doc,.doc,unsupported
D:\work\2026\4\5 组织生活会\6 市场部\党委发文套红头.doc,.doc,unsupported
D:\work\2026\4\5 组织生活会\6 市场部\组织生活会群众意见表.xls,.xls,unsupported
D:\work\2026\4\5 组织生活会\7 解放\民主评议.jpg,.jpg,unsupported
D:\work\2026\4\5 组织生活会\7 解放\（解放）2025组织生活会对照检查材料31.wps,.wps,unsupported
D:\work\2026\4\5 组织生活会\7 解放\（鲁予波）2025年度基层党组织组织生活会个人发言.wps,.wps,unsupported
D:\work\2026\4\5 组织生活会\8 人力\2025年度组织生活会民主评议结果报告.jpg,.jpg,unsupported
D:\work\2026\4\5 组织生活会\8 人力\党委发文套红头关于召开基层党组织2025年度组织生活会和.doc,.doc,unsupported
D:\work\2026\4\5 组织生活会\8 人力\附件附件4：2025年度基层党组织组织生活会支部对照检查材料.doc,.doc,unsupported
D:\work\2026\4\5 组织生活会\9 机动通信管理局\机动通信局党支部发言材料.doc,.doc,unsupported
D:\work\2026\4\5 组织生活会\9 机动通信管理局\民主评议.jpg,.jpg,unsupported
