"Status","File","Bytes","URL"
"KEEP","庙堂与江湖，用的是两套规则，同一个底层逻辑.md","10380","https://mp.weixin.qq.com/s?__biz=MzkzMTYyOTU2Nw==&mid=2247491202&idx=1&sn=69f20377d51d4df58b61a813df5ebd5b&chksm=c39c77bbb0ec669e4db4203abc3b5e32db37e4772d0773636df8a8fbe759a34966e845749a70&mpshare=1&scene=1&srcid=0807U9hevB8fQBPTrixnMWcA&sharer_shareinfo=4b22142ce2b5c7a70a608cc4c6ac94e2&sharer_shareinfo_first=eb0ea7310a8cbd1575a4e2187a49e801#rd"
"KEEP","你把孩子养得太舒服，他反而不想学习了.md","2370","https://mp.weixin.qq.com/s?__biz=MzE5MTYwOTI2OQ==&mid=2247486631&idx=1&sn=196f4170c702cb3615783618ada982c8&chksm=97cfb63ce6c083f98d833f70ad4611c37149f94d772f4b1acb086f88e15d7cfabd7d8beaec21&mpshare=1&scene=1&srcid=0731ubaQjah56bOmtt0P3ioF&sharer_shareinfo=a4272f2853d47acb8f14b8fc6f63a2bc&sharer_shareinfo_first=a4272f2853d47acb8f14b8fc6f63a2bc#rd"
"KEEP","你还在等Kimi官网恢复？有人已经用kimi k3省了一半钱!.md","8942","https://mp.weixin.qq.com/s?__biz=MzkzMzI4MjMyNA==&mid=2247550254&idx=1&sn=a9070a092fb45d2aefa24fd6900bd2f4&chksm=c3b645d9dc8863fd44c1a9ce1fffa9318a851981a562c6dd2fbd15d88dd5b849ce04c0665fb5&mpshare=1&scene=1&srcid=0729N4xPSQz4ayVDIcO0JDJW&sharer_shareinfo=ea8b5ba591b0e248d3bd87e004fd686a&sharer_shareinfo_first=ea8b5ba591b0e248d3bd87e004fd686a#rd"
"KEEP","你现在可能用不上，但哪天Mac电脑变卡了会庆幸自己存了这篇.md","6502","https://mp.weixin.qq.com/s?__biz=MzA3NDM5Nzg3OA==&mid=2452767834&idx=1&sn=ad58d32c7a6b2c5ec16ecf41e73b865a&chksm=898f680777d5504d3374fbf5bfd238a6db959d3916cc04d18ab2e4e6de3b6c049c1742d7b009&mpshare=1&scene=1&srcid=0803GJynAxraQzTkNt0ReyuJ&sharer_shareinfo=4eb4ac1313b35127d768939c2abc1563&sharer_shareinfo_first=4eb4ac1313b35127d768939c2abc1563#rd"
"KEEP","爬出底层，靠的根本不是拼命.md","9007","https://mp.weixin.qq.com/s?__biz=MzkzMTYyOTU2Nw==&mid=2247491190&idx=1&sn=f4908213dcd4fa619d83e75cb6223e9c&chksm=c3510bf7596f2084cc86565a48fe5a57cf75c0b48b7674c11b87aabf29450f04bb53c8f82a5a&mpshare=1&scene=1&srcid=0806a4Q509RsLDGIq4hGk1Uc&sharer_shareinfo=f5a494e32faadd16bb40d324ae825312&sharer_shareinfo_first=f5a494e32faadd16bb40d324ae825312#rd"
"KEEP","普通家庭出身的孩子，前半生唯一的主线就是积累自己的生存资本，不要过早把精力浪费在爱情、面子、情绪和无效社交上.md","9641","https://mp.weixin.qq.com/s?__biz=MzkzMTYyOTU2Nw==&mid=2247491143&idx=1&sn=da020c7753a7efcd09175de519899b1b&chksm=c392c32eb91d33d503f116e99bd04e1145321ac6ba90ad96003870db08b530b04f617378e603&mpshare=1&scene=1&srcid=0730wOikwJlc6wMU55sj28TR&sharer_shareinfo=321b5d69c29dffd1a9592c8a8a750f77&sharer_shareinfo_first=321b5d69c29dffd1a9592c8a8a750f77#rd"
"KEEP","让 Mac 在夜里读懂你的数字生活.md","3662","https://mp.weixin.qq.com/s?t=pages/image_detail&scene=1&__biz=Mzg5NjEyNTU4Nw==&mid=2247484269&idx=1&sn=73f227a76e9e594b59e7d56f41b330ff&from_masonry=1&sharer_shareinfo_first=c35879168166fa9dd07f0446556ff90c&sharer_shareinfo=c35879168166fa9dd07f0446556ff90c#wechat_redirect"
"KEEP","如何用Obsidian提高界定问题的能力？ 2.md","7539","https://mp.weixin.qq.com/s/VgIAlRTn6jUwN2oExc_Mow"
"KEEP","如何在obsidian中添加claudian插件并使用codex.md","3717","https://mp.weixin.qq.com/s?__biz=Mzg2NzA1MzA5MQ==&mid=2247484055&idx=1&sn=98569ad15fb6db2338264de6bddc9ce0&chksm=cf8d87820efdaf0187c09be7d41b9149261b2088829652b7a1794f251e7367c6735770506e2b&mpshare=1&scene=1&srcid=0504zE5oL4OGjNBnr5oyoWAE&sharer_shareinfo=457fe1d7652e966ad66b9e08498cc720&sharer_shareinfo_first=bbaebec03122c572857450fafd6b2d03#rd"
"KEEP","系统思维，不是玄学，是科学.md","14779","https://mp.weixin.qq.com/s?__biz=MzIxODU0NzA0MQ==&mid=2247499608&idx=1&sn=283167ecd9f1fad409f4fbd75573ffcf&chksm=963d3409540423178842a3226a3dc3c8fe1d82e8a494dae5feb816b7f51c22523f5a93e13e0f&mpshare=1&scene=1&srcid=0806QA3yMPukxSY5fEhb4ztB&sharer_shareinfo=f2b4934db6cb17fe6f24f850553c93ea&sharer_shareinfo_first=f2b4934db6cb17fe6f24f850553c93ea#rd"
"KEEP","先理顺人心，再解决事情.md","7006","https://mp.weixin.qq.com/s/OMdWGd1_P0vmsZyjSM_02A"
"KEEP","中央企业优秀党务工作者 - 洛阳分公司仝浩波：党建引领破局攻坚，实干笃行赋能发展.md","8770","https://mp.weixin.qq.com/s?__biz=MzI4NDcwNTI4OQ==&mid=2247578315&idx=2&sn=9c03843ad2987a85ffb2a5faa062e3fc&chksm=eaa9a0d62c5ba1478dd983c13c55b757313ea092f9ded32840ac085c6c1b8ec5dce0f40d2cd3&mpshare=1&scene=1&srcid=0805Y46m66TX936LC6TWPwMM&sharer_shareinfo=eb86cdc5033d767f973c8dea22065c46&sharer_shareinfo_first=eb86cdc5033d767f973c8dea22065c46#rd"
"META","2026-08-12_甲木未来派_公众号排版Skill初步提炼.md","8010",""
"META","同步助手_2026-08-12.md","731",""
